"","Naziv_jedinice","Godina","Županija","Status","Stopa_prireza","Iznos_prireza","Broj_stanovnika","Iznos_prireza_po_stanovniku"
"342","BISTRA",2013,"I ZAGREBAČKA","OPĆINA",0.1,1595325.991,6666,239.322830933093
"343","BISTRA",2014,"I ZAGREBAČKA","OPĆINA",0.1,1658247.479,6623,250.377091801299
"344","BISTRA",2015,"I ZAGREBAČKA","OPĆINA",0.1,1326425.7036,6558,202.260705032022
"345","BISTRA",2016,"I ZAGREBAČKA","OPĆINA",0.1,1465451.4795,6534,224.280912075298
"346","BISTRA",2017,"I ZAGREBAČKA","OPĆINA",0.1,1375333.66565,6458,212.965881952617
"347","BISTRA",2018,"I ZAGREBAČKA","OPĆINA",0.1,1611125.376016,6420,250.954108413707
"348","BISTRA",2019,"I ZAGREBAČKA","OPĆINA",0.1,1776151.595275,6440,275.799937154503
"349","BISTRA",2020,"I ZAGREBAČKA","OPĆINA",0.1,1836805.867478,6395,287.2253115681
"350","BISTRA",2021,"I ZAGREBAČKA","OPĆINA",0.1,1625173.083871,6444,252.199423319522
"351","BIZOVAC",2008,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,154213.21,4557,33.8409501865262
"352","BIZOVAC",2009,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,155890.78,4540,34.3371762114537
"353","BIZOVAC",2010,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,109153,4503,24.2400621807684
"354","BIZOVAC",2011,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,116375.65,4474,26.0115444792132
"355","BIZOVAC",2012,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,127753.52,4445,28.7409493813273
"356","BIZOVAC",2013,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,134930.9389,4431,30.4515772737531
"357","BIZOVAC",2014,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,110632.2517,4374,25.2931531092821
"358","BIZOVAC",2015,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,84255.0822,4310,19.5487429698376
"359","BIZOVAC",2016,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,124987.4004,4221,29.6108506041222
"360","BIZOVAC",2017,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,106263.637802,4123,25.7733780747029
"361","BIZOVAC",2018,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,140385.108662,4017,34.9477492312671
"362","BIZOVAC",2019,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,151614.052195,3935,38.5296193634053
"363","BIZOVAC",2020,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,149414.575347,3820,39.1137631798429
"364","BIZOVAC",2021,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.03,152903.955797,3733,40.9600738807929
"365","BJELOVAR",2008,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,12026096.58,40653,295.82310235407
"366","BJELOVAR",2009,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,11462901.68,40536,282.783246496941
"367","BJELOVAR",2010,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,9913413.34,40317,245.886681548726
"368","BJELOVAR",2011,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,9755516.48,40053,243.565188125733
"369","BJELOVAR",2012,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,10327782.65,39878,258.984468880084
"370","BJELOVAR",2013,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,10391459.3458,39694,261.789170801632
"371","BJELOVAR",2014,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,10080772.4916,39551,254.880344153119
"372","BJELOVAR",2015,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,8802344.4713,39180,224.664228466054
"373","BJELOVAR",2016,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,9258352.0338,38783,238.721915112291
"374","BJELOVAR",2017,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,8759172.117762,38433,227.907582488018
"375","BJELOVAR",2018,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.12,10022630.524329,38250,262.029556191608
"376","BJELOVAR",2019,"VII BJELOVARSKO-BILOGORSKA","GRAD",0.09,9101080.800135,37948,239.830315171682
"377","BJELOVAR",2020,"VII BJELOVARSKO-BILOGORSKA","GRAD",0,1999018.531271,37684,53.0468774883505
"378","BJELOVAR",2021,"VII BJELOVARSKO-BILOGORSKA","GRAD",0,0,36316,0
"379","BLATO",2008,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,709829.02,3560,199.390174157303
"380","BLATO",2009,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,685141.77,3587,191.006905492055
"381","BLATO",2010,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,558957.44,3608,154.921685144124
"382","BLATO",2011,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,589214.92,3623,162.631774772288
"383","BLATO",2012,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,494690.7,3644,135.754857299671
"384","BLATO",2013,"XIX DUBROVAČKO-NERETVANSKA","OPĆINA",0.1,498116.5812,3621,137.563264623032
