"","Naziv_jedinice","Godina","Šifra_Ž","Županija","Status","Šifra_GO","Stopa_prireza","Objava","Datum_primjene","Iznos_prireza","Broj_stanovnika"
"41","ANTUNOVAC",2021,14,"XIV OSJEČKO-BARANJSKA","OPĆINA","00027",0,"NN 136/20","01.01.2021.",0,3411
"42","ANTUNOVAC",2022,14,"XIV OSJEČKO-BARANJSKA","OPĆINA","00027",0.1,"NN 149/13","01.01.2014.",NA,NA
"43","BABINA GREDA",2002,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",NA,3537
"44","BABINA GREDA",2003,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",NA,3564
"45","BABINA GREDA",2004,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",NA,3574
"46","BABINA GREDA",2005,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",NA,3586
"47","BABINA GREDA",2006,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",NA,3592
"48","BABINA GREDA",2007,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",NA,3609
"49","BABINA GREDA",2008,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3645
"50","BABINA GREDA",2009,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3651
"51","BABINA GREDA",2010,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3591
"52","BABINA GREDA",2011,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3551
"53","BABINA GREDA",2012,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3516
"54","BABINA GREDA",2013,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3476
"55","BABINA GREDA",2014,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0,"-","-",0,3453
"56","BABINA GREDA",2015,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",36256.086,3346
"57","BABINA GREDA",2016,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",43746.2569,3234
"58","BABINA GREDA",2017,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",24403.948273,2987
"59","BABINA GREDA",2018,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",48883.035732,2895
"60","BABINA GREDA",2019,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",70384.004231,2806
"61","BABINA GREDA",2020,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",80879.005275,2745
"62","BABINA GREDA",2021,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",68651.731877,2762
"63","BABINA GREDA",2022,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00035",0.05,"NN 124/14","01.01.2015.",NA,NA
"64","BAKAR",2002,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,7623
"65","BAKAR",2003,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,7677
"66","BAKAR",2004,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,7783
"67","BAKAR",2005,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,7864
"68","BAKAR",2006,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,7966
"69","BAKAR",2007,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",NA,8037
"70","BAKAR",2008,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8115
"71","BAKAR",2009,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8209
"72","BAKAR",2010,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8274
"73","BAKAR",2011,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8321
"74","BAKAR",2012,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8278
"75","BAKAR",2013,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8268
"76","BAKAR",2014,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8264
"77","BAKAR",2015,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8231
"78","BAKAR",2016,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8173
"79","BAKAR",2017,8,"VIII PRIMORSKO-GORANSKA","GRAD","00043",0,"-","-",0,8127
